response_id,"user_id",conv_id,"answer"
1,"1464071",81,"bot"
2,"1c7d5f7",508,"human"
3,"1c7d5f7",121,"human"
4,"1c7d5f7",470,"bot"
5,"1c7d5f7",128,"bot"
6,"1c7d5f7",277,"human"
7,"1c7d5f7",527,"human"
8,"1c7d5f7",319,"bot"
9,"1c7d5f7",422,"human"
10,"1c7d5f7",707,"human"
11,"1c7d5f7",829,"human"
12,"1c7d5f7",665,"bot"
13,"acbc795",464,"bot"
14,"1c7d5f7",700,"human"
15,"1c7d5f7",528,"bot"
16,"1c7d5f7",6,"human"
17,"1c7d5f7",875,"bot"
18,"1c7d5f7",385,"bot"
19,"1c7d5f7",228,"human"
20,"1c7d5f7",420,"bot"
21,"1c7d5f7",399,"human"
22,"6601c65",931,"bot"
23,"6601c65",205,"bot"
24,"6601c65",282,"bot"
25,"6601c65",987,"bot"
26,"76ed410",892,"bot"
27,"6601c65",264,"bot"
28,"6601c65",752,"bot"
29,"76ed410",653,"bot"
30,"6601c65",499,"human"
31,"6601c65",774,"bot"
32,"6601c65",387,"human"
33,"6601c65",145,"bot"
34,"6601c65",13,"bot"
35,"6601c65",20,"bot"
36,"1c7d5f7",671,"human"
37,"6601c65",232,"human"
38,"6601c65",431,"bot"
39,"1c7d5f7",148,"human"
40,"6601c65",493,"bot"
41,"1c7d5f7",37,"bot"
42,"1c7d5f7",272,"human"
43,"6601c65",373,"human"
44,"1c7d5f7",958,"human"
45,"6601c65",44,"bot"
46,"1c7d5f7",841,"human"
47,"6601c65",761,"bot"
48,"6601c65",244,"bot"
49,"6601c65",569,"human"
50,"6601c65",373,"human"
51,"6601c65",351,"bot"
52,"76ed410",745,"bot"
53,"9211fa5",242,"bot"
54,"76ed410",77,"human"
55,"9211fa5",718,"human"
56,"76ed410",307,"bot"
57,"9211fa5",879,"human"
58,"76ed410",71,"human"
59,"1c7d5f7",992,"human"
60,"9211fa5",177,"human"
61,"1c7d5f7",741,"bot"
62,"76ed410",130,"bot"
63,"9211fa5",833,"bot"
64,"9271db8",335,"human"
